time,MET,T_C,RH_pct,P_hPa
 305.0s,29372,24.60,45.0,993.2
 305.5s,29373,24.60,45.0,993.2
 306.0s,29374,24.60,45.0,993.2
 306.5s,29375,24.60,45.0,993.2
 307.0s,29376,24.60,45.0,993.2
 307.5s,29377,24.50,45.0,993.2
 308.0s,29378,24.50,45.0,993.2
 308.5s,29379,24.60,45.0,993.2
 309.0s,29380,24.60,45.0,993.2
 309.5s,29381,24.60,45.0,993.2
 310.0s,29382,24.60,45.0,993.2
 310.5s,29383,24.50,45.0,993.2
 311.0s,29384,24.50,45.0,993.2
 311.5s,29385,24.50,45.0,993.2
 312.0s,29386,24.50,45.0,993.2
 312.5s,29387,24.50,45.0,993.2
 313.0s,29388,24.50,45.0,993.2
 313.5s,29389,24.50,45.0,993.2
 314.0s,29390,24.50,46.0,993.2
 314.5s,29391,24.50,45.0,993.2
 315.0s,29392,24.50,45.0,993.2
 315.5s,29393,24.50,45.0,993.2
 316.0s,29394,24.50,45.0,993.2
 316.5s,29395,24.50,45.0,993.2
 317.0s,29396,24.50,45.0,993.2
 317.5s,29397,24.50,45.0,993.0
 318.0s,29398,24.50,45.0,993.2
 318.5s,29399,24.50,45.0,993.2
 319.0s,29400,24.50,45.0,993.2
 319.5s,29401,24.50,45.0,993.2
 320.0s,29402,24.50,45.0,993.2
 320.5s,29403,24.50,45.0,993.2
 321.0s,29404,24.50,45.0,993.2
 321.5s,29405,24.50,45.0,993.2
 322.0s,29406,24.50,45.0,993.2
 322.5s,29407,24.50,45.0,993.2
 323.0s,29408,24.50,45.0,993.2
 323.5s,29409,24.50,45.0,993.2
 324.0s,29410,24.50,45.0,993.2
 324.5s,29411,24.50,45.0,993.2
 325.0s,29412,24.50,45.0,993.2
 325.5s,29413,24.50,45.0,993.2
 326.0s,29414,24.50,45.0,993.2
 326.5s,29415,24.50,45.0,993.2
 327.0s,29416,24.50,45.0,993.2
 327.5s,29417,24.50,45.0,993.2
 328.0s,29418,24.50,45.0,993.2
 328.5s,29419,24.50,45.0,993.2
 329.0s,29420,24.50,45.0,993.2
 329.5s,29421,24.50,45.0,993.2
 330.0s,29422,24.50,45.0,993.2
 330.5s,29423,24.50,45.0,993.2
 331.0s,29424,24.50,45.0,993.2
